image_name;tags
train_dehazed_0;haze primary
train_dehazed_1;agriculture clear primary water
train_dehazed_2;clear primary
train_dehazed_3;clear primary
train_dehazed_4;agriculture clear habitation primary road
train_dehazed_5;haze primary water
train_dehazed_6;agriculture clear cultivation primary water
train_dehazed_7;haze primary
train_dehazed_8;agriculture clear cultivation primary
train_dehazed_9;agriculture clear cultivation primary road
train_dehazed_10;agriculture clear primary slash_burn water
train_dehazed_11;clear primary water
train_dehazed_12;cloudy
train_dehazed_13;clear primary
train_dehazed_14;cloudy
train_dehazed_15;clear primary
train_dehazed_16;clear primary
train_dehazed_17;partly_cloudy primary
train_dehazed_18;clear primary
train_dehazed_19;agriculture clear primary road
train_dehazed_20;agriculture clear primary water
train_dehazed_21;clear primary road water
train_dehazed_22;partly_cloudy primary
train_dehazed_23;agriculture clear primary road
train_dehazed_24;conventional_mine partly_cloudy primary
train_dehazed_25;clear primary
train_dehazed_26;cloudy
train_dehazed_27;agriculture partly_cloudy primary water
train_dehazed_28;clear primary
train_dehazed_29;partly_cloudy primary
train_dehazed_30;clear primary water
train_dehazed_31;clear cultivation primary
train_dehazed_32;agriculture clear primary road
train_dehazed_33;agriculture cultivation partly_cloudy primary
train_dehazed_34;clear primary
train_dehazed_35;clear primary
train_dehazed_36;agriculture clear primary road
train_dehazed_37;partly_cloudy primary
train_dehazed_38;clear primary
train_dehazed_39;clear primary
train_dehazed_40;agriculture clear cultivation primary
train_dehazed_41;agriculture clear primary
train_dehazed_42;clear primary
train_dehazed_43;bare_ground haze
train_dehazed_44;clear primary
train_dehazed_45;clear primary
train_dehazed_46;bare_ground clear habitation primary
train_dehazed_47;clear primary water
train_dehazed_48;clear primary water
train_dehazed_49;clear primary
train_dehazed_50;cloudy
train_dehazed_51;clear primary
train_dehazed_52;agriculture clear habitation primary road water
train_dehazed_53;clear primary
train_dehazed_54;clear primary
train_dehazed_55;partly_cloudy primary road water
train_dehazed_56;clear primary water
train_dehazed_57;artisinal_mine bare_ground clear primary water
train_dehazed_58;agriculture clear primary road
train_dehazed_59;agriculture clear habitation primary road
train_dehazed_60;haze primary
